"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.974473833E0,-2.685266919E-2,-2.638982609E-2,3.415929154E-2
1.984471833E0,8.395597339E-3,-1.062550917E-1,2.981913835E-2
1.994469833E0,1.023891345E-1,-1.434489787E-1,1.346616540E-2
2.004467833E0,1.872901767E-1,-1.540409029E-1,-1.005647052E-2
2.014465833E0,2.264372557E-1,-1.396996677E-1,-1.719012856E-2
2.024463833E0,2.108407319E-1,-9.842493385E-2,-4.910825752E-3
2.034461833E0,1.512674391E-1,-1.651233062E-2,-1.327448338E-2
2.044459833E0,8.162765205E-2,2.420553938E-2,-1.678239927E-2
2.054457833E0,1.903490163E-2,4.727905616E-2,-9.178312495E-3
2.064455833E0,-1.581309363E-2,4.592963308E-2,8.192155510E-3
2.074453833E0,-1.756176353E-4,3.236358613E-2,5.568044260E-3
2.084452833E0,5.428309739E-2,1.138107292E-2,-1.255689748E-2
2.094450833E0,1.047041714E-1,-2.347438969E-2,-3.482677042E-2
2.104448833E0,1.197590157E-1,-8.475159854E-2,-3.794506565E-2
2.114446833E0,1.219581738E-1,-9.113922715E-2,-2.680328861E-2
2.124444833E0,1.157695204E-1,-5.229702592E-2,-2.098907530E-2
2.134442833E0,1.030992791E-1,-2.730152383E-2,-6.159535609E-3
2.144439958E0,8.979225904E-2,-8.740088902E-3,-3.559754696E-4
2.154437958E0,6.910444051E-2,-2.881106362E-2,-1.043598633E-2
2.164435958E0,4.631843418E-2,-2.559316531E-2,-2.710790746E-2
2.174433958E0,2.429402806E-2,-1.872477122E-2,-3.436684981E-2
2.184431958E0,1.799219102E-2,1.191196777E-2,-5.170615762E-2
2.194429958E0,3.375907242E-2,6.181969121E-2,-5.490123481E-2
2.204427958E0,5.803272128E-2,7.316369563E-2,-4.881351441E-2
2.214425958E0,7.572951168E-2,5.359242857E-2,-4.302983731E-2
2.224424958E0,7.933170348E-2,-1.242493466E-2,-3.626567498E-2
2.234422958E0,9.020329267E-2,-7.883962244E-2,-3.704266250E-2
2.244420958E0,1.066728160E-1,-7.256015390E-2,-3.353741020E-2
2.254418958E0,1.080090404E-1,-2.981063724E-2,-2.376060933E-2
2.264416958E0,9.973966330E-2,1.002093311E-2,-1.675596274E-2
2.274414958E0,9.368047118E-2,4.157335497E-4,-2.200599946E-2
2.284412958E0,8.544411510E-2,7.760465611E-3,-2.560872398E-2
2.294410958E0,8.734875172E-2,5.091216415E-2,-1.967344247E-2
2.304408958E0,7.658478618E-2,5.963535234E-2,-1.702705957E-2
2.314406958E0,5.783415586E-2,3.177742660E-2,-2.165242797E-3
2.324404958E0,3.806178272E-2,-4.290298093E-3,2.091264725E-2
2.334402958E0,3.515820205E-2,-3.222669661E-2,3.981785476E-2
2.344400958E0,5.580089614E-2,-7.019431144E-2,4.366212711E-2
2.354398958E0,7.817658037E-2,-5.445206538E-2,3.400175273E-2
2.364397958E0,8.621000499E-2,-5.415325984E-2,2.276907489E-2
2.374395958E0,8.970771730E-2,-6.727603078E-2,1.723200455E-2
2.384393958E0,8.913859725E-2,-6.027351320E-2,1.814839989E-2
2.394391958E0,8.630585670E-2,-4.041709006E-2,1.412246004E-2
2.404389958E0,7.089414448E-2,1.889363863E-2,-7.531594019E-4
2.414387958E0,4.673790559E-2,8.699757606E-2,-4.773855209E-3
2.424385958E0,9.281077422E-3,8.456264436E-2,-2.084062668E-3
2.434383958E0,-9.653642774E-4,4.870468378E-2,8.423180552E-4
2.444381958E0,2.414371818E-2,3.650074825E-2,9.583611973E-3
2.454379958E0,5.109443516E-2,1.658219472E-2,1.082908013E-3
2.464377958E0,6.830324978E-2,-1.110802218E-2,-1.006721519E-2
2.474375958E0,7.385810465E-2,-2.534845658E-2,-1.750849746E-2
2.484373958E0,7.567784190E-2,-3.557632864E-2,-4.333264008E-2
2.494371958E0,6.651967019E-2,-2.087253146E-2,-5.919545516E-2
2.504370958E0,5.068930984E-2,3.565908410E-4,-6.282506883E-2
2.514368958E0,5.079635605E-2,3.874911368E-2,-5.982421711E-2
2.524366958E0,5.864495784E-2,5.847381428E-2,-4.063960537E-2
2.534364958E0,5.228679255E-2,4.307055846E-2,-2.468040399E-2
2.544362958E0,4.244854301E-2,-1.675073989E-3,-9.794667363E-3
2.554360958E0,4.796110839E-2,-4.078288376E-2,1.160058193E-2
2.564358958E0,7.097108662E-2,-6.237419695E-2,1.642729528E-2
2.574356958E0,9.125357121E-2,-5.600891635E-2,6.878479384E-3
2.584354958E0,1.032729447E-1,-4.060652480E-2,7.794872858E-3
2.594352958E0,9.748886526E-2,-8.609824814E-3,1.092805900E-2
2.604350958E0,6.799995154E-2,2.099440619E-2,7.770614699E-3
2.614348958E0,2.506724373E-2,1.262388006E-2,2.272328129E-3
2.624346958E0,-1.290060580E-3,1.300737634E-2,4.037205130E-3
2.634344958E0,4.531206563E-3,7.261405699E-4,8.218307048E-3
2.644343958E0,3.788729757E-2,-3.724414483E-2,1.227643248E-2
2.654341958E0,7.187230885E-2,-2.348325029E-2,4.306587856E-3
2.664339958E0,8.971814811E-2,5.857858807E-3,-1.679132925E-3
2.674337958E0,8.894279599E-2,2.506944910E-2,-1.439402811E-3
2.684335958E0,6.826388836E-2,4.467137903E-2,-5.029077642E-3
2.694333958E0,5.024613440E-2,4.440952465E-2,-2.954535419E-3
2.704331958E0,5.853788555E-2,2.677886561E-2,-4.128145520E-4
2.714329958E0,9.492776543E-2,-3.858844982E-3,-8.705046028E-3
2.724327958E0,1.311249137E-1,-2.661875263E-2,-2.775916457E-2
2.734325958E0,1.463182122E-1,-2.268688194E-2,-3.989291564E-2
2.744323958E0,1.394725591E-1,-4.343827721E-3,-4.289482906E-2
2.754321958E0,1.232648939E-1,3.717794642E-2,-2.954977006E-2
2.764319958E0,1.059420928E-1,4.998641834E-2,-4.854008555E-3
2.774318958E0,9.732825309E-2,1.943751052E-2,6.118937396E-3
2.784316958E0,9.828006476E-2,-7.986657321E-3,2.182279900E-2
2.794314958E0,1.224720702E-1,2.340421267E-2,3.631088138E-2
