"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.387539275E1,1.480717659E1,-2.268268776E1,-5.478332520E0
2.388538975E1,1.480717659E1,-2.268268776E1,-5.478332520E0
2.389538775E1,1.476328468E1,-2.300183678E1,-5.182922363E0
2.390538575E1,1.476328468E1,-2.300183678E1,-5.182922363E0
2.391538375E1,1.426080799E1,-2.323811722E1,-5.017272949E0
2.392538175E1,1.426080799E1,-2.323811722E1,-5.017272949E0
2.393537875E1,1.444050217E1,-2.324383163E1,-4.867065430E0
2.394537675E1,1.444050217E1,-2.324383163E1,-4.867065430E0
2.395537475E1,1.424066162E1,-2.335218430E1,-4.911254883E0
2.396537275E1,1.424066162E1,-2.335218430E1,-4.911254883E0
2.397536975E1,1.418150711E1,-2.346563911E1,-4.842468262E0
2.398536775E1,1.418150711E1,-2.346563911E1,-4.842468262E0
2.399536575E1,1.380736542E1,-2.360544968E1,-4.716247559E0
2.400536375E1,1.380736542E1,-2.360544968E1,-4.716247559E0
2.401536175E1,1.382637405E1,-2.366055107E1,-4.869018555E0
2.402535875E1,1.382637405E1,-2.366055107E1,-4.869018555E0
2.403535675E1,1.398143864E1,-2.388428688E1,-4.929138184E0
2.404535475E1,1.398143864E1,-2.388428688E1,-4.929138184E0
2.405535275E1,1.400688744E1,-2.391304588E1,-5.058898926E0
2.406535075E1,1.400688744E1,-2.391304588E1,-5.058898926E0
2.407534775E1,1.412033176E1,-2.375707054E1,-5.047973633E0
2.408534575E1,1.412033176E1,-2.375707054E1,-5.047973633E0
2.409534375E1,1.431340694E1,-2.358266830E1,-5.135742188E0
2.410534175E1,1.431340694E1,-2.358266830E1,-5.135742188E0
2.411533875E1,1.447797108E1,-2.372980499E1,-5.310668945E0
2.412533675E1,1.447797108E1,-2.372980499E1,-5.310668945E0
2.413533475E1,1.444782543E1,-2.366335678E1,-5.570861816E0
2.414533275E1,1.444782543E1,-2.366335678E1,-5.570861816E0
2.415533075E1,1.451691437E1,-2.350279045E1,-5.769226074E0
2.416532775E1,1.451691437E1,-2.350279045E1,-5.769226074E0
2.417532575E1,1.455588341E1,-2.324477768E1,-5.636840820E0
2.418532375E1,1.455588341E1,-2.324477768E1,-5.636840820E0
2.419532175E1,1.477511501E1,-2.330845833E1,-6.160095215E0
2.420531975E1,1.477511501E1,-2.330845833E1,-6.160095215E0
2.421531675E1,1.508785152E1,-2.317419434E1,-6.553649902E0
2.422531475E1,1.508785152E1,-2.317419434E1,-6.553649902E0
2.423531275E1,1.506226635E1,-2.320075798E1,-6.901672363E0
2.424531075E1,1.506226635E1,-2.320075798E1,-6.901672363E0
2.425530775E1,1.526494026E1,-2.304481316E1,-7.551208496E0
2.426530575E1,1.526494026E1,-2.304481316E1,-7.551208496E0
2.427530375E1,1.521522999E1,-2.292808151E1,-8.034973145E0
2.428530175E1,1.521522999E1,-2.292808151E1,-8.034973145E0
2.429529975E1,1.524519444E1,-2.285496521E1,-8.625427246E0
2.430529675E1,1.524519444E1,-2.285496521E1,-8.625427246E0
2.431529475E1,1.540394020E1,-2.266650391E1,-8.978210449E0
2.432529275E1,1.540394020E1,-2.266650391E1,-8.978210449E0
2.433529075E1,1.576213264E1,-2.245267868E1,-9.862854004E0
2.434528875E1,1.576213264E1,-2.245267868E1,-9.862854004E0
2.435528575E1,1.600813293E1,-2.229033089E1,-1.057641602E1
2.436528375E1,1.600813293E1,-2.229033089E1,-1.057641602E1
2.437528175E1,1.604346848E1,-2.179785728E1,-1.128497314E1
2.438527975E1,1.604346848E1,-2.179785728E1,-1.128497314E1
2.439527675E1,1.599084091E1,-2.157711411E1,-1.184338379E1
2.440527475E1,1.599084091E1,-2.157711411E1,-1.184338379E1
2.441527275E1,1.626729202E1,-2.148320007E1,-1.237249756E1
2.442527075E1,1.626729202E1,-2.148320007E1,-1.237249756E1
2.443526875E1,1.619551468E1,-2.152607536E1,-1.275848389E1
2.444526575E1,1.619551468E1,-2.152607536E1,-1.275848389E1
2.445526375E1,1.626730919E1,-2.148315811E1,-1.302722168E1
2.446526175E1,1.626730919E1,-2.148315811E1,-1.302722168E1
2.447525975E1,1.616416359E1,-2.136162376E1,-1.311132812E1
2.448525775E1,1.576372910E1,-2.159333420E1,-1.327789307E1
2.449525475E1,1.576372910E1,-2.159333420E1,-1.327789307E1
2.450525275E1,1.570118332E1,-2.155430412E1,-1.319567871E1
2.451525075E1,1.570118332E1,-2.155430412E1,-1.319567871E1
2.452524875E1,1.552508450E1,-2.169945526E1,-1.302124023E1
2.453524675E1,1.552508450E1,-2.169945526E1,-1.302124023E1
2.454524375E1,1.534418869E1,-2.192606544E1,-1.294073486E1
2.455524175E1,1.534418869E1,-2.192606544E1,-1.294073486E1
2.456523975E1,1.561137772E1,-2.202930832E1,-1.284545898E1
2.457523775E1,1.561137772E1,-2.202930832E1,-1.284545898E1
2.458523575E1,1.552466869E1,-2.221047401E1,-1.263751221E1
2.459523275E1,1.552466869E1,-2.221047401E1,-1.263751221E1
2.460523075E1,1.504025459E1,-2.232338905E1,-1.221429443E1
2.461522875E1,1.504025459E1,-2.232338905E1,-1.221429443E1
2.462522675E1,1.488846588E1,-2.241503143E1,-1.172991943E1
2.463522375E1,1.488846588E1,-2.241503143E1,-1.172991943E1
2.464522175E1,1.474915314E1,-2.259980774E1,-1.127288818E1
2.465521975E1,1.474915314E1,-2.259980774E1,-1.127288818E1
2.466521775E1,1.468615627E1,-2.274432373E1,-1.090234375E1
2.467521575E1,1.468615627E1,-2.274432373E1,-1.090234375E1
2.468521275E1,1.447342491E1,-2.298712349E1,-1.025073242E1
2.469521075E1,1.447342491E1,-2.298712349E1,-1.025073242E1
2.470520875E1,1.439015102E1,-2.323709679E1,-9.581054688E0
2.471520675E1,1.439015102E1,-2.323709679E1,-9.581054688E0
2.472520475E1,1.430054283E1,-2.362632751E1,-9.334533691E0
2.473520175E1,1.430054283E1,-2.362632751E1,-9.334533691E0
2.474519975E1,1.421222591E1,-2.375960922E1,-8.877319336E0
2.475519775E1,1.421222591E1,-2.375960922E1,-8.877319336E0
2.476519575E1,1.404730034E1,-2.389832687E1,-8.583496094E0
2.477519454E1,1.404730034E1,-2.389832687E1,-8.583496094E0
2.478519154E1,1.383537292E1,-2.397472954E1,-7.968261719E0
2.479518954E1,1.383537292E1,-2.397472954E1,-7.968261719E0
2.480518754E1,1.379271507E1,-2.425993919E1,-7.775146484E0
2.481518554E1,1.379271507E1,-2.425993919E1,-7.775146484E0
2.482518354E1,1.354814529E1,-2.434971809E1,-7.609924316E0
2.483518054E1,1.354814529E1,-2.434971809E1,-7.609924316E0
2.484517854E1,1.338277912E1,-2.441209412E1,-7.510803223E0
2.485517654E1,1.338277912E1,-2.441209412E1,-7.510803223E0
2.486517454E1,1.300114059E1,-2.468513107E1,-7.020019531E0
2.487517254E1,1.300114059E1,-2.468513107E1,-7.020019531E0
2.488516954E1,1.316267204E1,-2.464289856E1,-7.109497070E0
2.489516754E1,1.316267204E1,-2.464289856E1,-7.109497070E0
2.490516554E1,1.318640232E1,-2.449348068E1,-6.819335938E0
2.491516354E1,1.318640232E1,-2.449348068E1,-6.819335938E0
2.492516154E1,1.313827133E1,-2.445275307E1,-6.836059570E0
2.493515854E1,1.313827133E1,-2.445275307E1,-6.836059570E0
2.494515654E1,1.301629448E1,-2.460665321E1,-6.428588867E0
2.495515454E1,1.301629448E1,-2.460665321E1,-6.428588867E0
2.496515254E1,1.288256741E1,-2.467105484E1,-6.560546875E0
2.497514954E1,1.288256741E1,-2.467105484E1,-6.560546875E0
2.498514754E1,1.287679100E1,-2.466911316E1,-6.160583496E0
2.499514554E1,1.287679100E1,-2.466911316E1,-6.160583496E0
2.500514354E1,1.271934414E1,-2.469515228E1,-5.927368164E0
2.501514154E1,1.271934414E1,-2.469515228E1,-5.927368164E0
2.502513854E1,1.262111378E1,-2.469722748E1,-5.456115723E0
2.503513654E1,1.262111378E1,-2.469722748E1,-5.456115723E0
2.504513454E1,1.232625389E1,-2.495815849E1,-5.368164062E0
2.505513254E1,1.232625389E1,-2.495815849E1,-5.368164062E0
2.506513054E1,1.232705879E1,-2.507664108E1,-4.983642578E0
2.507512754E1,1.232705879E1,-2.507664108E1,-4.983642578E0
2.508512554E1,1.181404781E1,-2.562234306E1,-5.088500977E0
2.509512354E1,1.181404781E1,-2.562234306E1,-5.088500977E0
2.510512154E1,1.152511978E1,-2.557722855E1,-4.911682129E0
2.511511954E1,1.152511978E1,-2.557722855E1,-4.911682129E0
2.512511654E1,1.130336952E1,-2.543968582E1,-4.793701172E0
2.513511454E1,1.130336952E1,-2.543968582E1,-4.793701172E0
2.514511254E1,1.088121605E1,-2.559709740E1,-4.881530762E0
2.515511054E1,1.088121605E1,-2.559709740E1,-4.881530762E0
2.516510854E1,1.079484940E1,-2.565668106E1,-4.606872559E0
2.517510554E1,1.079484940E1,-2.565668106E1,-4.606872559E0
2.518510354E1,1.058779621E1,-2.593156242E1,-4.614440918E0
2.519510154E1,1.058779621E1,-2.593156242E1,-4.614440918E0
2.520509954E1,1.048535728E1,-2.610041428E1,-4.395568848E0
2.521509754E1,1.048535728E1,-2.610041428E1,-4.395568848E0
2.522509454E1,1.015111828E1,-2.636579895E1,-4.582458496E0
2.523509254E1,1.015111828E1,-2.636579895E1,-4.582458496E0
2.524509054E1,9.922120094E0,-2.654489136E1,-4.343383789E0
2.525508854E1,9.825176239E0,-2.658594131E1,-4.456054688E0
2.526508654E1,9.825176239E0,-2.658594131E1,-4.456054688E0
2.527508354E1,9.945503235E0,-2.630392647E1,-4.454528809E0
2.528508154E1,9.945503235E0,-2.630392647E1,-4.454528809E0
2.529507954E1,9.837842941E0,-2.663510132E1,-4.670654297E0
2.530507754E1,9.837842941E0,-2.663510132E1,-4.670654297E0
2.531507554E1,9.829969406E0,-2.676224327E1,-4.660278320E0
2.532507254E1,9.829969406E0,-2.676224327E1,-4.660278320E0
2.533507054E1,9.400116920E0,-2.692814827E1,-4.388000488E0
2.534506854E1,9.400116920E0,-2.692814827E1,-4.388000488E0
2.535506654E1,9.416146278E0,-2.677884102E1,-4.292175293E0
2.536506454E1,9.416146278E0,-2.677884102E1,-4.292175293E0
2.537506154E1,9.451683998E0,-2.678772354E1,-4.186340332E0
2.538505954E1,9.451683998E0,-2.678772354E1,-4.186340332E0
