"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.614542833E0,-1.972926575E-1,-1.335831499E-1,-3.747921976E-1
1.624540833E0,-8.603797764E-2,-2.058746159E-2,-4.427657872E-1
1.634538833E0,-4.081385761E-2,-9.423898995E-2,-3.639225161E-1
1.644536833E0,-1.539928561E-1,-1.497273123E-1,-2.058105889E-1
1.654535833E0,-9.303534061E-2,-1.790891057E-1,8.247497678E-4
1.664533833E0,-2.411947221E-2,-2.074492711E-1,7.410147160E-2
1.674531833E0,-1.722151190E-2,-1.629747641E-1,1.731997901E-1
1.684529833E0,5.816166937E-2,-1.022356421E-1,1.080547911E-1
1.694527833E0,8.503839612E-2,-1.034927934E-1,1.088830492E-1
1.704525833E0,-4.522061169E-2,-8.606926024E-2,1.727641726E-1
1.714523833E0,-1.074212453E-1,-9.863726556E-2,9.476085395E-2
1.724521833E0,7.874474555E-2,-1.163069665E-2,-6.360747367E-2
1.734519833E0,2.430927283E-1,1.242439771E-1,-1.044379959E-1
1.744517833E0,2.121062860E-1,9.614693642E-2,-1.385670242E-1
1.754515833E0,1.110699078E-1,5.578886926E-2,-1.208327115E-1
1.764513833E0,2.787075341E-3,3.830277085E-2,-1.052791178E-3
1.774511833E0,-1.060930502E-1,-3.687780440E-2,1.093917570E-1
1.784509833E0,1.100714958E-1,2.181479216E-2,1.440987825E-1
1.794507833E0,3.405406702E-1,1.482011890E-1,1.298268986E-1
1.804506833E0,3.977422267E-1,1.631466722E-1,5.555147231E-2
1.814504833E0,2.912395790E-1,1.525830925E-1,1.247561932E-2
1.824502833E0,1.571316415E-1,1.200538623E-1,6.386153519E-2
1.834500833E0,1.202436045E-1,5.656245589E-2,-1.649879605E-2
1.844498833E0,1.363395274E-2,-6.609107852E-3,7.287414104E-2
1.854496833E0,-5.942174435E-2,-1.072730184E-1,1.844001317E-1
1.864494833E0,-1.674759507E-2,-1.800351852E-1,1.176334074E-1
1.874492833E0,4.081298053E-2,-1.487566745E-1,2.007787675E-2
1.884490833E0,1.450588953E-1,-6.399075866E-2,-1.169650707E-1
1.894488833E0,2.277771163E-1,8.823448420E-4,-2.761145863E-1
1.904486833E0,2.252575511E-1,3.580834866E-2,-2.275081444E-1
1.914484833E0,1.956221080E-1,9.789408445E-3,-1.773773333E-1
1.924482833E0,1.718724722E-1,-7.218972445E-3,-1.160081738E-1
1.934481833E0,1.149895889E-1,-7.206050098E-2,-1.283259183E-1
1.944479833E0,5.277755320E-2,-1.379393256E-1,-1.592255294E-1
1.954477833E0,3.786598384E-2,-1.365985590E-1,-1.983711764E-1
1.964475833E0,2.446708918E-2,-1.168174285E-1,-2.137785897E-1
1.974473833E0,-5.570057631E-3,-1.049581057E-1,-1.675127882E-1
1.984471833E0,1.363746107E-2,-7.358720899E-2,8.679606915E-3
1.994469833E0,1.962375274E-1,-2.893903971E-2,1.396183535E-1
2.004467833E0,2.776752082E-1,-5.334180951E-2,1.717113814E-1
2.014465833E0,2.728939399E-1,1.971681118E-3,1.343096665E-1
2.024463833E0,1.613770124E-1,1.895199537E-2,-1.953905582E-2
2.034461833E0,2.568369010E-1,-3.489033580E-3,-2.605846739E-1
2.044459833E0,3.421866614E-1,3.699416399E-2,-3.631518531E-1
2.054457833E0,2.261431119E-1,6.980522990E-2,-2.152289915E-1
2.064455833E0,1.029615739E-1,-4.485399127E-3,-1.717628369E-1
2.074453833E0,1.371800646E-1,-1.860116243E-2,-8.367424071E-2
2.084452833E0,2.155824557E-1,-1.548752010E-2,1.012322599E-1
2.094450833E0,2.450155851E-1,-7.642310858E-4,1.239276427E-1
2.104448833E0,1.817185986E-1,6.947252333E-2,5.046965718E-2
2.114446833E0,1.177178997E-1,1.163630998E-1,-1.275745511E-2
2.124444833E0,1.055092058E-1,4.049372256E-2,-4.937330425E-2
2.134442833E0,9.100314081E-2,-5.100292325E-2,-6.262660325E-3
2.144439958E0,4.128134251E-2,-1.034746671E-1,-6.529585719E-2
2.154437958E0,1.027952206E-1,-1.176974344E-1,-8.129413158E-2
2.164435958E0,2.140092623E-1,-2.076638639E-2,-4.935751677E-2
2.174433958E0,1.674405751E-1,5.249337852E-2,-8.666012138E-2
2.184431958E0,2.365277669E-1,7.141087532E-2,-2.763394117E-2
2.194429958E0,2.838726720E-1,1.490466964E-1,2.960065216E-2
