"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.571498654E1,-3.812272339E0,5.384752350E0,6.982978821E0
2.572498454E1,-3.765868835E0,5.405858459E0,6.935976563E0
2.573498254E1,-3.719315643E0,5.423521729E0,6.864874420E0
2.574498054E1,-3.641178131E0,5.445226593E0,6.807843018E0
2.575497854E1,-3.571872253E0,5.464686127E0,6.824458466E0
2.576497554E1,-3.583398285E0,5.498216400E0,6.984775085E0
2.577497313E1,-3.579356689E0,5.479804688E0,7.473808136E0
2.578497113E1,-3.396287384E0,5.442532196E0,7.601791992E0
2.579496913E1,-3.407663727E0,5.502707062E0,7.498656464E0
2.580496713E1,-3.481011200E0,5.526657257E0,7.431595917E0
2.581496512E1,-3.476071472E0,5.414989471E0,7.365134125E0
2.582496212E1,-3.481909332E0,5.396428070E0,7.330705719E0
2.583496013E1,-3.436853027E0,5.527854767E0,7.325316925E0
2.584495813E1,-3.383414154E0,5.605393524E0,7.318580933E0
2.585495613E1,-3.356619873E0,5.568121033E0,7.286996613E0
2.586495413E1,-3.488196259E0,5.540727997E0,7.401957550E0
2.587495113E1,-3.458857269E0,5.457351379E0,7.803722076E0
2.588494913E1,-3.316203918E0,5.324876862E0,7.717501373E0
2.589494713E1,-3.442241821E0,5.359454956E0,7.833959198E0
2.590494513E1,-3.551514587E0,5.420378265E0,8.036637726E0
2.591494313E1,-3.631148987E0,5.386249237E0,8.208929443E0
2.592494012E1,-3.649111633E0,5.400020599E0,8.200546875E0
2.593493813E1,-3.658691711E0,5.496120758E0,8.084837494E0
2.594493613E1,-3.700454865E0,5.579197998E0,8.028404846E0
2.595493413E1,-3.660937042E0,5.524411926E0,7.936196594E0
2.596493213E1,-3.794459381E0,5.551056519E0,7.945926361E0
2.597492913E1,-3.866759033E0,5.649102631E0,7.567662964E0
2.598492712E1,-3.896696777E0,5.588029633E0,7.281458130E0
2.599492513E1,-4.151916046E0,5.645510101E0,7.395071869E0
2.600492313E1,-4.390519867E0,5.754184113E0,7.317982178E0
2.601492113E1,-4.549189911E0,5.707331543E0,7.217840424E0
2.602491813E1,-4.530329132E0,5.576054535E0,7.112609253E0
2.603491613E1,-4.555177460E0,5.495821381E0,6.892117767E0
2.604491412E1,-4.486620026E0,5.298831024E0,6.320755920E0
2.605491213E1,-4.461771698E0,5.257516937E0,5.915548553E0
2.606491013E1,-4.556674347E0,5.393883362E0,6.200555878E0
2.607490713E1,-4.468956757E0,5.315147095E0,6.752757568E0
2.608490513E1,-4.508324890E0,5.326373749E0,7.183711395E0
2.609490313E1,-4.425097961E0,5.496869202E0,7.289241943E0
2.610490112E1,-4.389172668E0,5.462141418E0,7.114405518E0
2.611489913E1,-4.502187653E0,5.500611420E0,7.113058319E0
2.612489613E1,-4.609664154E0,5.595065002E0,6.972650299E0
2.613489413E1,-4.986280975E0,5.467230835E0,6.580914917E0
2.614489212E1,-4.786596222E0,5.102289734E0,5.949827271E0
2.615489013E1,-4.440066833E0,5.066963196E0,5.390440521E0
2.616488813E1,-4.676125946E0,5.258265381E0,5.102589111E0
2.617488513E1,-4.942122803E0,5.386698303E0,5.302423553E0
2.618488313E1,-5.053790588E0,5.412744141E0,6.290369110E0
2.619488113E1,-4.910388794E0,5.338049469E0,7.639663239E0
2.620487912E1,-4.703968048E0,5.127437439E0,7.892337799E0
2.621487713E1,-4.483177185E0,5.024152222E0,7.867339783E0
2.622487413E1,-4.292623444E0,5.035079498E0,7.845335541E0
2.623487213E1,-4.182602234E0,5.028792572E0,7.645351410E0
2.624487013E1,-4.306544495E0,5.135520630E0,7.418572998E0
2.625486813E1,-4.628225555E0,5.284460907E0,7.281009064E0
2.626486612E1,-4.862937469E0,5.211263123E0,7.145840149E0
2.627486312E1,-4.839136963E0,4.947511597E0,6.961872711E0
2.628486113E1,-4.909939728E0,4.777764587E0,6.698869629E0
2.629485913E1,-5.151986389E0,4.858895874E0,6.626719666E0
2.630485713E1,-5.441933441E0,5.075046387E0,7.028184814E0
2.631485513E1,-5.323829041E0,4.933740234E0,7.463479614E0
2.632485213E1,-4.997507629E0,4.608466644E0,7.700137482E0
2.633485013E1,-4.844675446E0,4.499044189E0,8.011040955E0
2.634484813E1,-4.757706299E0,4.524940338E0,8.127049713E0
2.635484613E1,-4.766537933E0,4.440665588E0,7.836204529E0
2.636484413E1,-4.859195251E0,4.403243408E0,7.745044098E0
2.637484213E1,-4.842879181E0,4.421954498E0,7.661966858E0
2.638483913E1,-4.682263184E0,4.354594574E0,7.439679108E0
2.639483713E1,-4.702920227E0,4.299359436E0,7.216193848E0
2.640483513E1,-4.897515564E0,4.425097961E0,7.086114349E0
2.641483313E1,-4.986730042E0,4.514911194E0,7.030130768E0
2.642483112E1,-4.864134979E0,4.445755005E0,7.071444855E0
2.643482812E1,-4.744982758E0,4.393064575E0,7.113208008E0
2.644482613E1,-4.698579254E0,4.451143799E0,7.328310699E0
2.645482413E1,-4.652175751E0,4.553231506E0,7.601642303E0
2.646482213E1,-4.540208588E0,4.532724152E0,7.819289703E0
2.647482013E1,-4.461622009E0,4.443509674E0,7.927664337E0
2.648481713E1,-4.456382904E0,4.387975159E0,7.966284027E0
2.649481512E1,-4.487218781E0,4.402045898E0,7.913892975E0
2.650481313E1,-4.464166718E0,4.364474030E0,7.771838379E0
2.651481113E1,-4.505480804E0,4.340374146E0,7.691754913E0
2.652480913E1,-4.611161041E0,4.421954498E0,7.560477905E0
2.653480613E1,-4.708458710E0,4.522395630E0,7.486232300E0
2.654480413E1,-4.679269409E0,4.536017303E0,7.462880859E0
2.655480212E1,-4.634512482E0,4.539460144E0,7.474855957E0
2.656480013E1,-4.595892792E0,4.567601624E0,7.678282928E0
2.657479813E1,-4.465663605E0,4.578528900E0,7.818690948E0
2.658479513E1,-4.334536285E0,4.534370728E0,7.762707367E0
2.659479312E1,-4.349954224E0,4.493954773E0,7.732470245E0
2.660479113E1,-4.489763489E0,4.560416565E0,7.844437408E0
2.661478913E1,-4.428391113E0,4.580025787E0,7.809709625E0
2.662478713E1,-4.271367645E0,4.465663605E0,7.677833862E0
2.663478413E1,-4.237537994E0,4.337230682E0,7.505392456E0
2.664478213E1,-4.338727570E0,4.417912903E0,7.356751556E0
2.665478012E1,-4.572092285E0,4.574786682E0,7.298223267E0
2.666477813E1,-4.730612640E0,4.640649719E0,7.462132416E0
2.667477613E1,-4.584366760E0,4.600233765E0,7.599396973E0
2.668477313E1,-4.408183136E0,4.473148041E0,7.550598450E0
2.669477113E1,-4.404740295E0,4.426145782E0,7.483687592E0
2.670476913E1,-4.413871307E0,4.514013062E0,7.501051483E0
2.671476712E1,-4.343966675E0,4.601580963E0,7.698341217E0
2.672476513E1,-4.214635620E0,4.602030029E0,7.832462311E0
2.673476313E1,-4.237837372E0,4.508025513E0,7.736811218E0
2.674476013E1,-4.380640411E0,4.493655396E0,7.593858490E0
2.675475813E1,-4.500391388E0,4.540807343E0,7.500153351E0
2.676475613E1,-4.667593689E0,4.552782440E0,7.482340393E0
2.677475425E1,-4.760251007E0,4.523593140E0,7.461833038E0
2.678475225E1,-4.778363342E0,4.482129364E0,7.414830780E0
2.679474925E1,-4.747677155E0,4.453538818E0,7.380552063E0
2.680474725E1,-4.629872131E0,4.440066833E0,7.352410583E0
2.681474525E1,-4.610861664E0,4.523892517E0,7.477700043E0
2.682474325E1,-4.531376953E0,4.646936646E0,7.746091919E0
2.683474125E1,-4.147275696E0,4.596042480E0,7.826025696E0
2.684473825E1,-4.099824371E0,4.475543060E0,7.716154175E0
2.685473625E1,-4.299509125E0,4.516557770E0,7.538174286E0
2.686473425E1,-4.425397339E0,4.630321198E0,7.453450470E0
2.687473225E1,-4.471950531E0,4.622687073E0,7.402705994E0
2.688473025E1,-4.494852905E0,4.575235748E0,7.390132141E0
2.689472725E1,-4.595294037E0,4.642146606E0,7.592361603E0
2.690472525E1,-4.528832245E0,4.709207153E0,7.803871765E0
2.691472325E1,-4.308041382E0,4.574038239E0,7.825726318E0
2.692472125E1,-4.284989319E0,4.402494965E0,7.710765381E0
2.693471925E1,-4.394860840E0,4.416266327E0,7.699089661E0
2.694471725E1,-4.400099945E0,4.544848938E0,7.868986359E0
2.695471425E1,-4.295018463E0,4.528233490E0,7.903714142E0
2.696471225E1,-4.317172394E0,4.446204071E0,7.818990326E0
2.697471025E1,-4.434678040E0,4.493056641E0,7.764353943E0
2.698470825E1,-4.528233490E0,4.581522675E0,7.672894135E0
2.699470625E1,-4.617447968E0,4.569996643E0,7.578440552E0
2.700470325E1,-4.681215363E0,4.549638977E0,7.564669189E0
2.701470125E1,-4.643044739E0,4.559219055E0,7.642507324E0
2.702469925E1,-4.514162750E0,4.532424774E0,7.672744446E0
2.703469725E1,-4.465663605E0,4.478387146E0,7.700586548E0
2.704469525E1,-4.459676056E0,4.451742554E0,7.700287170E0
2.705469225E1,-4.435725861E0,4.485123138E0,7.838300171E0
2.706469025E1,-4.307442627E0,4.515060883E0,8.060737610E0
2.707468825E1,-4.210893402E0,4.437222748E0,7.965834961E0
2.708468625E1,-4.231101379E0,4.382586365E0,7.740553436E0
2.709468425E1,-4.348307648E0,4.508025513E0,7.591463470E0
2.710468225E1,-4.429289246E0,4.611610107E0,7.458390198E0
2.711467925E1,-4.513264618E0,4.567152557E0,7.329358521E0
2.712467725E1,-4.591701508E0,4.560266876E0,7.273524628E0
2.713467525E1,-4.533771973E0,4.655169525E0,7.424261169E0
2.714467325E1,-4.308041382E0,4.659211121E0,7.594457245E0
2.715467125E1,-4.231101379E0,4.595593414E0,7.556436310E0
2.716466825E1,-4.257596283E0,4.593647461E0,7.450157318E0
2.717466625E1,-4.279450836E0,4.693190460E0,7.543413391E0
2.718466425E1,-4.255500641E0,4.687502289E0,7.584877167E0
2.719466225E1,-4.241280212E0,4.606071625E0,7.553442535E0
2.720466025E1,-4.340523834E0,4.633764038E0,7.523355103E0
2.721465725E1,-4.376449127E0,4.729415131E0,7.540120239E0
2.722465525E1,-4.449796600E0,4.754862213E0,7.657925262E0
2.723465325E1,-4.479584656E0,4.733307037E0,7.786208496E0
2.724465125E1,-4.380939789E0,4.702770538E0,7.756121063E0
2.725464925E1,-4.337080994E0,4.614903259E0,7.636519775E0
2.726464625E1,-4.319417725E0,4.503684540E0,7.430099030E0
2.727464425E1,-4.365372162E0,4.459526367E0,7.273524628E0
2.728464225E1,-4.527934113E0,4.556374969E0,7.357649689E0
2.729464025E1,-4.426744537E0,4.650978241E0,7.582482147E0
2.730463825E1,-4.162543945E0,4.596341858E0,7.706873474E0
2.731463625E1,-4.145928497E0,4.537963257E0,7.700586548E0
2.732463325E1,-4.312532043E0,4.638404388E0,7.737559662E0
2.733463125E1,-4.406985626E0,4.714446259E0,7.829169159E0
2.734462925E1,-4.459376678E0,4.629722443E0,7.804620209E0
2.735462725E1,-4.544399872E0,4.530628510E0,7.761509857E0
2.736462525E1,-4.627626801E0,4.531376953E0,7.732170868E0
2.737462225E1,-4.663552094E0,4.529880066E0,7.698041840E0
2.738462025E1,-4.596790924E0,4.470303955E0,7.652686157E0
2.739461825E1,-4.546495514E0,4.440964966E0,7.647447052E0
2.740461625E1,-4.437821503E0,4.472848663E0,7.692802734E0
2.741461425E1,-4.287234650E0,4.537813568E0,7.756121063E0
2.742461225E1,-4.273163910E0,4.545896759E0,7.704777832E0
2.743460925E1,-4.311184845E0,4.528383179E0,7.664661255E0
2.744460725E1,-4.371808777E0,4.587510223E0,7.716004486E0
2.745460525E1,-4.424798584E0,4.621339874E0,7.819888458E0
2.746460325E1,-4.427043915E0,4.595593414E0,7.827372894E0
2.747460125E1,-4.465962982E0,4.517455902E0,7.728278961E0
2.748459825E1,-4.500840454E0,4.523892517E0,7.696994019E0
2.749459625E1,-4.534370728E0,4.559668121E0,7.685168610E0
2.750459425E1,-4.536166992E0,4.560865631E0,7.640561371E0
2.751459225E1,-4.536166992E0,4.541256409E0,7.574249268E0
2.752459025E1,-4.562063141E0,4.538562012E0,7.574548645E0
2.753458825E1,-4.438120880E0,4.567152557E0,7.655979309E0
2.754458525E1,-4.244872742E0,4.524341583E0,7.639513550E0
2.755458325E1,-4.249513092E0,4.514611816E0,7.523953857E0
2.756458125E1,-4.340523834E0,4.530628510E0,7.456593933E0
2.757457925E1,-4.449796600E0,4.561614075E0,7.483837280E0
2.758457725E1,-4.419409790E0,4.556973724E0,7.509883118E0
2.759457425E1,-4.356540527E0,4.557722168E0,7.458240509E0
2.760457225E1,-4.364923096E0,4.569397888E0,7.402406616E0
2.761457025E1,-4.389621735E0,4.570296021E0,7.381749573E0
2.762456825E1,-4.447700958E0,4.564308472E0,7.409741364E0
2.763456625E1,-4.426145782E0,4.575086060E0,7.512876892E0
2.764456325E1,-4.303850098E0,4.525389404E0,7.561525726E0
2.765456125E1,-4.293970642E0,4.477339325E0,7.516619110E0
2.766455925E1,-4.386478271E0,4.507277069E0,7.556436310E0
2.767455725E1,-4.453389130E0,4.560715942E0,7.714507599E0
2.768455525E1,-4.443359985E0,4.536017303E0,7.793692932E0
2.769455325E1,-4.513114929E0,4.452191620E0,7.752528534E0
2.770455025E1,-4.616699524E0,4.497247925E0,7.726333008E0
2.771454825E1,-4.677622833E0,4.556374969E0,7.714357910E0
2.772454625E1,-4.727469177E0,4.561464386E0,7.764204254E0
2.773454425E1,-4.618495789E0,4.543352051E0,7.812254333E0
2.774454225E1,-4.522844696E0,4.477189636E0,7.736062775E0
2.775453925E1,-4.542453918E0,4.427642670E0,7.675588531E0
2.776453725E1,-4.548890533E0,4.458478546E0,7.621251526E0
2.777453542E1,-4.556824036E0,4.489015045E0,7.629634094E0
2.778453342E1,-4.512067108E0,4.505480804E0,7.790848846E0
2.779453142E1,-4.373754730E0,4.443509674E0,7.753276978E0
2.780452942E1,-4.359384613E0,4.369264069E0,7.649243317E0
2.781452642E1,-4.384682007E0,4.403842163E0,7.560477905E0
2.782452442E1,-4.404889984E0,4.484674072E0,7.542066193E0
2.783452242E1,-4.421505432E0,4.530478821E0,7.637866974E0
2.784452042E1,-4.287384338E0,4.517755280E0,7.592062225E0
2.785451842E1,-4.292174377E0,4.485572205E0,7.503446503E0
2.786451542E1,-4.405339050E0,4.538112946E0,7.463479614E0
2.787451342E1,-4.468956757E0,4.612358551E0,7.527995453E0
2.788451142E1,-4.493805084E0,4.586612091E0,7.596702576E0
2.789450942E1,-4.441114655E0,4.550088043E0,7.662266235E0
2.790450742E1,-4.403991852E0,4.500241699E0,7.674091644E0
2.791450542E1,-4.409380646E0,4.491709442E0,7.751929779E0
2.792450242E1,-4.451892242E0,4.561913452E0,7.816894684E0
2.793450042E1,-4.418062592E0,4.599635010E0,7.833659821E0
2.794449842E1,-4.421056366E0,4.578678589E0,7.762707367E0
2.795449642E1,-4.452341309E0,4.545148315E0,7.661068726E0
2.796449442E1,-4.448748779E0,4.550387421E0,7.638316040E0
2.797449142E1,-4.404141541E0,4.562661896E0,7.636819153E0
2.798448942E1,-4.388274536E0,4.562063141E0,7.622449036E0
2.799448742E1,-4.421505432E0,4.539310455E0,7.561525726E0
2.800448542E1,-4.464915161E0,4.476890259E0,7.534132690E0
2.801448342E1,-4.526287537E0,4.452640686E0,7.565717010E0
2.802448142E1,-4.560865631E0,4.475692749E0,7.619155884E0
2.803447842E1,-4.485123138E0,4.451742554E0,7.659571838E0
2.804447642E1,-4.496948547E0,4.400099945E0,7.595954132E0
2.805447442E1,-4.555776215E0,4.374802551E0,7.567812653E0
2.806447242E1,-4.578678589E0,4.402644653E0,7.635322266E0
2.807447042E1,-4.517006836E0,4.401746521E0,7.644303589E0
2.808446742E1,-4.531526642E0,4.394860840E0,7.596403198E0
2.809446542E1,-4.578977966E0,4.424349518E0,7.547305298E0
2.810446342E1,-4.566104736E0,4.461023254E0,7.607480164E0
2.811446142E1,-4.489613800E0,4.443359985E0,7.651039581E0
2.812445942E1,-4.453688507E0,4.422852631E0,7.626640320E0
2.813445742E1,-4.481380920E0,4.462071075E0,7.654033356E0
2.814445442E1,-4.459077301E0,4.518204346E0,7.686366119E0
2.815445242E1,-4.399351501E0,4.492158508E0,7.704478455E0
2.816445042E1,-4.375101929E0,4.500241699E0,7.721243591E0
2.817444842E1,-4.439917145E0,4.521946564E0,7.713459778E0
2.818444642E1,-4.475842438E0,4.533622284E0,7.730374603E0
2.819444442E1,-4.459975433E0,4.518354034E0,7.721393280E0
2.820444142E1,-4.457730103E0,4.485572205E0,7.660469971E0
2.821443942E1,-4.452191620E0,4.485272827E0,7.652536469E0
