Time (s),Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (hPa),X (rad/s),Y (rad/s),Z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),X (µT),Y (µT),Z (µT),Distance (cm)
2023-06-10 19:38:26.900,11.953310130487804,0.4937498385610001,0.35562315729550004,7.1960941607999995,1011.989822,-0.45937808975800004,0.214541763068,-0.20906696653600002,,,,,,,,7.843640518300001,-13.153526116,-23.074597167,
2023-06-10 19:38:27.000,12.053126039999999,0.018968192119999977,0.225872056933,7.8222199178,,0.009382662351000003,0.37249439061,0.10506442934,,,,,,,,13.123525143,-14.133403967000001,-23.190979005,
2023-06-10 19:38:27.100,12.153102440000001,-0.39502709395950003,1.620824548793,8.323795656349999,,0.9563933521599999,-0.164620281398,0.25765840263,,,,,,,,14.806784915,-17.475415802,-22.686425783,
2023-06-10 19:38:27.200,12.253637400243901,-0.0701894284755,2.475974919025,10.2523419222,,1.1364564717,-0.4057221890099999,-0.8704775528500999,52.351174,4.915771562,1.884517193,-1.0,-1.0,9.938788907,9.938788907,11.857981395,-21.16062145,-20.818621824,
2023-06-10 19:38:27.300,12.35305504,0.576889695004,-1.267734094764,4.3658731513692,,0.48248927592,0.7401936208095,-0.6284610092499999,,,,,,,,9.518996429000001,-22.553883744,-18.854907226,
2023-06-10 19:38:27.400,12.45303144,-2.1629838658650002,2.4198532554,4.312398726915,,-0.0031530991170000133,-0.14299251847,-0.165710276733,,,,,,,,7.0951072692,-23.122704698,-20.381567384,
2023-06-10 19:38:27.500,12.55300774,-1.9472725740674999,4.65979267015,2.7442939536299997,,1.15773788095,0.184008968448,0.467568159091,,,,,,,,3.9950399398000003,-24.415830992,-20.870727538,
2023-06-10 19:38:27.600,12.65298404,-1.851782250705,3.44212518395,0.9101242618000001,,0.264669019028,0.11300571896600001,-0.6185249716100001,,,,,,,,2.4906730654,-25.9346817,-19.396508790000002,
2023-06-10 19:38:27.700,12.753207697560978,-2.74325490333,1.599474281385,2.47586629235,,-0.276866931098,0.5753693819000001,-0.43857786505999996,52.351174,4.915771562,1.972385406,-1.0,-1.0,9.938788907,9.938788907,4.2922849655999995,-24.88084221,-20.44343262,
2023-06-10 19:38:27.800,12.85293605,-3.4769973495000004,1.54549569551,2.3814325609,,-0.04769796924952,0.1577139686325,0.1602090612556,,,,,,,,5.4491645812,-24.340272902,-20.615075682,
2023-06-10 19:38:27.900,12.951908652439023,-3.2445848237500003,2.4268096586950003,2.7746662043,1012.004776,-0.0661127318581,0.11801633089500001,0.41104950905,,,,,,,,5.070203208800001,-24.190211488,-20.123669434,
2023-06-10 19:38:28.000,13.05288875,-2.84889565681,2.76461625852,3.106714495305,,-0.04044520733863,0.10646199620900001,0.42565391957000004,,,,,,,,4.2887725831,-23.924708936,-18.889398192999998,
2023-06-10 19:38:28.100,13.15286515,-1.9134185695964998,2.1897190534349997,2.5742931750699998,,-0.52506620139,0.349385494729,0.35592862667,,,,,,,,4.4140700341,-22.896303367999998,-17.262359617999998,
2023-06-10 19:38:28.200,13.252841649999999,-1.08630306219,0.972655321705,3.4047184843715,,-0.34375544562,0.6484765313290001,0.546329844,,,,,,,,5.4682929992,-21.443352508,-15.419818118,
2023-06-10 19:38:28.300,13.35281805,-0.61468962717,0.38289351495,5.914110256135,,0.2421596069358,0.31896037645,0.70462955832,,,,,,,,7.628282833,-20.384104155,-13.023022462,
2023-06-10 19:38:28.400,13.452794449999999,-0.704044247895,1.35165790926,6.39889115195,,1.13500495551,0.266784256499,0.41803192943,,,,,,,,9.274820137099999,-20.994930075,-8.886437987799999,
2023-06-10 19:38:28.500,13.552770849999998,-1.0602477523,2.6703640684299996,2.7365181215,,0.42743713847000003,0.724834483794,-0.42082301117099996,,,,,,,,10.15851345,-22.203735351,-5.8045227053,
2023-06-10 19:38:28.600,13.652747350000002,-3.95414438489,5.64950804751,7.76534147893,,-0.25524076982,-0.8261902646914001,-0.73020057978,,,,,,,,12.177277372,-21.524983213000002,-8.215771484200001,
2023-06-10 19:38:28.700,13.752724218000001,-1.813441019877,1.9400476812849998,2.11816091592,,0.2646184709941,0.50812589299,-0.392609846607,,,,,,,,12.040855026,-20.853887176,-8.0245239259,
2023-06-10 19:38:28.800,13.85297362317073,-3.5905672344350004,1.63236346612,3.434619683268,1012.01004,-0.24608444423,0.42451480330999997,-0.3801626265,,,,,,,,12.47139063,-20.175596428,-8.9881713866,
2023-06-10 19:38:28.900,13.95267792,-3.2458361864449996,1.117380340945,3.0937473883465,,-0.23717488198,0.48996268212,-0.195024758575,,,,,,,,13.28312397,-19.54291687,-9.208789062600001,
2023-06-10 19:38:29.000,14.053259574878048,-2.9512348092927896,1.9517073070959998,2.9856302074600003,,-0.14553253502,-0.23757047820600002,0.25894795656,52.351174,4.915771562,2.04794693,-1.0,-1.0,9.938788907,9.938788907,13.604301644,-19.649424361999998,-8.8611206054,
2023-06-10 19:38:29.100,14.152630819999999,-2.8264715701765,3.1566741436849997,3.8545802184605003,,0.0495944454335,-0.26714096962,0.35597042442,,,,,,,,13.27298851,-20.107097623999998,-8.612133789000001,
2023-06-10 19:38:29.200,14.252607219999998,-2.347581231428,2.74014767827,3.6230939501755004,,0.34248906224,-0.24357325434,0.3082724317849,,,,,,,,12.388712118,-20.85882225,-8.188293457,
2023-06-10 19:38:29.300,14.352583720000002,-2.31016481081915,2.3675723502305,3.1328952280015,,0.193538248537,-0.180562559515,-0.33622721211,,,,,,,,12.021382712000001,-20.971922302000003,-7.5488647462000005,
2023-06-10 19:38:29.400,14.45256022,-2.7908882954439997,2.2344098927009997,3.027500627649,,-0.208877862236,-0.5385648191100001,-0.33296495901,,,,,,,,12.97286339,-20.731531906,-7.665234375,
2023-06-10 19:38:29.500,14.55253682,-2.2057484789095,2.858928996565,4.2979671262687,,0.33575735837,0.230845606135,0.22725066320099999,,,,,,,,13.487586593999998,-20.719256974,-8.2612182618,
2023-06-10 19:38:29.600,14.65251322,-2.140059718055,3.14430408133,3.2289013635110004,,-0.087427341935,0.2192051202,-0.127716803931,,,,,,,,13.264313603,-21.241738508999997,-7.2963806149999995,
2023-06-10 19:38:29.700,14.752489367999999,-2.583282245889,2.263440192885,3.2847991078920002,,0.087269546846,0.27747266591,-0.189837363177,,,,,,,,13.820631789999998,-20.922513962,-7.4434387207,
2023-06-10 19:38:29.800,14.851574935365853,-2.702219114655,2.27178984142055,3.5186661578539997,1012.01004,0.33101288081,0.40224062800000004,0.059125639967,,,,,,,,13.938679884999999,-21.04992962,-6.8975463868,
2023-06-10 19:38:29.900,14.95244179,-2.639947992825,2.6887712203685,2.7744570785855,,0.35143764468,0.43910204768999994,-0.16264950336099998,,,,,,,,13.982476616,-21.490361784999997,-5.4398925781,
2023-06-10 19:38:30.000,15.05241809,-3.2148892420964996,2.9011336727985,3.114522720915,,0.190482558311,0.6258871466,-0.14531719163100001,,,,,,,,14.36070919,-21.727876279,-4.5645874024,
2023-06-10 19:38:30.100,15.152394789999999,-3.837779238375,2.6901768178067,1.745437258515,,-0.7020371884200001,-0.30944946705000004,-0.24037724881,,,,,,,,14.934273146999999,-21.746614457,-4.4101013185,
2023-06-10 19:38:30.200,15.25237119,-3.15603023375424,2.2431848823635,3.372221647669,,-0.61183269025,-0.75077421662,0.00015657464899999967,,,,,,,,15.665243817,-20.917690849,-7.192645263600001,
2023-06-10 19:38:30.300,15.35234779,-2.85137474466305,1.85413685151,3.5640333592099998,,-0.27603941280660005,-0.67061259746,0.1977067464886,,,,,,,,15.613202286,-20.344779397,-9.455371094,
2023-06-10 19:38:30.400,15.45232449,-3.1498192628200004,2.8890240453450002,4.200812743825,,-0.0943286408694,-0.42237233073,0.33661351054,,,,,,,,14.77819805,-20.86512871,-10.7119751,
2023-06-10 19:38:30.500,15.55230079,-2.3904501807385,2.2243285620885,2.7963422712900003,,0.20231157615700002,-0.26376686433,-0.182510139623,,,,,,,,14.620698546,-20.826313018,-10.768334962,
2023-06-10 19:38:30.600,15.65227749,-2.3269375635555,1.51766797757,3.11618420732,,-0.23555208697700003,-0.20577345492000002,-0.116739558056,,,,,,,,15.34112854,-20.168843078000002,-10.641381834,
2023-06-10 19:38:30.700,15.752640813414635,-2.92465889251,2.367611877321,4.959212956925,1011.998825,-0.165701097613,-0.19207351357,0.433252543401,,,,,,,,16.100800323999998,-19.65740509,-11.297875978,
2023-06-10 19:38:30.800,15.852231839999998,-1.5249864404765001,2.2836520878749997,3.968279619245,,-0.251232479504,-0.115952001507,-0.09652506261800001,,,,,,,,16.136474036000003,-19.895449066,-11.144567872,
2023-06-10 19:38:30.900,15.952208339999999,-2.70001008042,1.89435407374171,4.181537865259999,,-0.255994261814,0.019847391686400002,-0.013475897727000002,,,,,,,,16.801420974000003,-19.330799484,-11.420385742,
2023-06-10 19:38:31.000,16.05218504,-2.1139116274406,2.0377788039075,4.505311059837,,-0.009731998196499999,0.178203246369,0.193288750187,,,,,,,,17.043741607999998,-19.594751358000003,-11.309582518,
2023-06-10 19:38:31.100,16.15216174,-1.761634045908,2.17882724027925,3.579339440135,,0.004438484833000002,0.020640754094800002,0.084890034403,,,,,,,,17.023740386,-20.247617339999998,-10.404113769,
2023-06-10 19:38:31.200,16.25213814,-2.0899145812674997,2.280698542255,4.0851221030537,,-0.066075232249,0.07932887226600001,-0.15825349764000002,,,,,,,,17.375937654999998,-20.1278841,-10.397973633,
2023-06-10 19:38:31.300,16.352114739999998,-2.399930329955,2.0946036973775,3.8501644597180005,,-0.057753112171769996,-0.019828998681,-0.068854916363,,,,,,,,17.787414742,-19.986382673,-10.2239929214,
2023-06-10 19:38:31.400,16.45209134,-2.3702929426735,2.1027235943025,4.36517861897,,-0.03841061824665,0.1170637540152,-0.073738881676,,,,,,,,17.900447465000003,-19.886717605,-10.509582517999998,
2023-06-10 19:38:31.500,16.55206804,-2.30876042654365,1.911093935903074,3.865037788313,,0.124085960541,0.13210083841,-0.03867719974423,,,,,,,,17.76569481,-19.565533257000002,-10.2880126934,
2023-06-10 19:38:31.600,16.65204474,-2.35552031771395,1.9019683179600002,3.6921521690682,,0.006968917419000001,0.0599421433178,-0.12175799980999999,,,,,,,,17.797042657,-19.456297685000003,-10.0145446786,
2023-06-10 19:38:31.700,16.751249325609756,-2.43205746164795,1.7707836959244498,3.830104621681,1011.981812,-0.07345504984199999,-0.031001793500499995,-0.070442928746,,,,,,,,18.065033912,-19.203231239,-10.093475340800001,
2023-06-10 19:38:31.800,16.85199729,-2.56585314325,1.9451904536049198,4.22278403671,,-0.038630364741,-0.0255287855834,-0.046904332004,,,,,,,,18.464709474,-19.075890348999998,-10.442761233,
2023-06-10 19:38:31.900,16.95197399,-2.4591510030494996,2.026293995235,4.15483319276705,,0.0392071845012,0.054547422007,-0.0193336543154,,,,,,,,18.372573852,-19.044787980000002,-10.484143068,
2023-06-10 19:38:32.000,17.05195059,-2.499967696596,1.740513537555,3.6757268725320005,,-0.0092246011836,0.010680372827,-0.0188116744626,,,,,,,,18.144067764,-19.066013336,-10.411181641999999,
2023-06-10 19:38:32.100,17.15192729,-2.520471440777,1.8109739041085,3.882977162833,,-0.05263683944897,-0.038012671471699996,-0.022855272516,,,,,,,,18.159889986,-19.105404282000002,-10.517822266,
2023-06-10 19:38:32.200,17.25190399,-2.5787465607640003,1.83312713315925,4.12358228101,,-0.0418026005842,0.0348676571167,0.01050087308983,,,,,,,,18.136629105999997,-18.800420378000002,-10.728784178000002,
2023-06-10 19:38:32.300,17.35188059,-2.4456409383745,1.9057917684155001,3.850148993939,,0.012377263606,0.035937637882399995,0.010394427646599999,,,,,,,,17.997867204,-18.918461225999998,-10.62791748,
2023-06-10 19:38:32.400,17.45185729,-2.44942423302205,1.7571070146825,3.9316175770964996,,-0.0036849508056,-0.031330135371399996,-0.016146582550549998,,,,,,,,18.179600526,-18.771681214,-10.583056639999999,
2023-06-10 19:38:32.500,17.55183429,-2.596611090991,1.831867789021,3.96100185308,,-0.059428018515,-0.010858076579599998,-0.012175244233000001,,,,,,,,18.370396422,-18.815114976,-10.655725096000001,
2023-06-10 19:38:32.600,17.652323984146342,-2.396834492378,1.8890351101465002,3.961216650483,1011.966782,-0.0017201683486999992,-0.007930982625499999,0.0037976358092,,,,,,,,18.138961032,-18.768157388,-10.775384521,
2023-06-10 19:38:32.700,17.751787741999998,-2.5376316884279997,1.7745977030565,3.9672065089932502,,0.008429889194,-0.0202397553704,0.005659709964700001,,,,,,,,18.172323228,-18.661203385,-10.803778076,
2023-06-10 19:38:32.800,17.85176477,-2.545151047005,1.75547230859535,4.0290557541855,,-0.018042325418,0.0231650795324,0.009878184926,,,,,,,,18.228479765,-18.816937828,-10.895111086,
2023-06-10 19:38:32.900,17.95174167,-2.45689969358,1.8403788354205002,4.040511180586,,0.0018467463555500011,0.025823837797999998,0.0023905625790000004,,,,,,,,18.319579698000002,-18.778576088,-10.812280273,
2023-06-10 19:38:33.000,18.05171837,-2.438404804334,1.8527081135005001,3.9040220521950504,,-0.0126310314522,0.0151289880274,0.0126298413157,,,,,,,,18.355208397000002,-18.756271172,-10.717169189,
2023-06-10 19:38:33.100,18.151695269999998,-2.51103331834,1.7632070345938,3.8285245870185003,,-0.012163700443099999,-0.026109623303200002,0.007191845868699999,,,,,,,,18.306703183,-18.80557747,-10.586785888,
2023-06-10 19:38:33.200,18.25167197,-2.4954119993825,1.8368277042970997,4.17931247345,,-0.0172847197401,0.006891256385,-0.0142869325356,,,,,,,,18.216872786,-18.801074412,-10.726818845,
2023-06-10 19:38:33.300,18.35164887,-2.4364697560396,1.8039033778681,3.8863778742016004,,-0.007043887024199999,-0.004009060562500001,-0.009631811803999999,,,,,,,,18.168343163,-18.872628403,-10.675921632,
2023-06-10 19:38:33.400,18.45162567,-2.481028009717,1.799325519601,3.987960265372,,-0.0059871186491,-0.005478130747,-0.0146524761342,,,,,,,,18.385809707,-18.741331289999998,-10.760870361,
2023-06-10 19:38:33.500,18.55160257,-2.53415760920985,1.75066588269365,3.9909264702534997,,-0.00533861853286,-0.0032064005271999997,0.012773354211490002,,,,,,,,18.313392256,-18.813566206,-10.755517578,
2023-06-10 19:38:33.600,18.650939086585364,-2.5046069214215,1.7431890480075,3.9665711212819503,1011.958771,-0.0180545607585,-0.00025587186790000037,-0.0074985550713,,,,,,,,18.348391342,-18.674588392,-10.89581299,
2023-06-10 19:38:33.700,18.751556402,-2.4997511742095,1.77970318490275,4.0434185331025,,-0.0331451245572,0.019130903389,-0.0210520774587,,,,,,,,18.38734131,-18.708125304,-10.87508545,
2023-06-10 19:38:33.800,18.85153335,-2.4606599064701498,1.8183445533931,3.942707961897,,0.016490062280330002,0.018010032922700002,0.016450083163,,,,,,,,18.468585204,-18.817613220000002,-10.807568358000001,
2023-06-10 19:38:33.900,18.951510250000002,-2.4433823489407502,1.7686210593935,3.974096663334,,-0.0182607101277,-0.0241932818189,-0.048670384847,,,,,,,,18.570560836000002,-18.836245725999998,-10.788916016,
2023-06-10 19:38:34.000,19.05148715,-2.598870557445,1.7038182102764998,4.068078609677,,0.0021709667038,0.021227456443,-0.018962897734,,,,,,,,18.41004753,-18.461600876,-10.991125488,
2023-06-10 19:38:34.100,19.15146405,-2.4898435351695,1.70535393747165,3.9257326177424097,,0.0018026376142999997,0.007694851701279999,-0.00591203307286,,,,,,,,18.53500328,-18.620272828,-10.841552734,
2023-06-10 19:38:34.200,19.25144105,-2.4956514282695,1.7525440522575,4.006418697281,,-0.00361658288034,-0.0014897870345800001,0.0016201793922000004,,,,,,,,18.464215277,-18.697567176,-10.80708008,
2023-06-10 19:38:34.300,19.351417950000002,-2.5088889251427,1.7992138231500001,4.0247203069554995,,0.0338016849009,0.0243679443833,-0.0059922300285499995,,,,,,,,18.686227226,-18.650572202,-10.999304196999999,
2023-06-10 19:38:34.400,19.45139495,-2.4968071451115,1.799830412062,3.9098286589165,,-0.0010107495357999999,0.0043973230761399995,-0.033642205038,,,,,,,,18.641937257000002,-18.644001961,-10.999017335,
2023-06-10 19:38:34.500,19.55201906707317,-2.59034391368,1.7067876748305,4.01238072299775,1011.952972,-0.05170599259499999,0.0187456466251,-0.0465702938839,,,,,,,,18.69589443,-18.462302587,-10.997790529,
2023-06-10 19:38:34.600,19.65134895,-2.685785778205,1.6962951386423,4.0304580335255,,-0.0020039856445000005,0.046336396505,-0.01397598092451,,,,,,,,18.808852004,-18.507475471,-11.076879883,
2023-06-10 19:38:34.700,19.7513258,-2.68657319354,1.572176452878,3.7534634996409997,,-0.057852042462,0.087266346435,-0.0396971290928,,,,,,,,18.905199239999998,-18.451049424,-10.933258056,
2023-06-10 19:38:34.800,19.851302579,-2.459838167944,1.614462361455,3.7955471094010003,,-0.04966386891794,-0.0426828166476,0.031664785184,,,,,,,,19.148891449,-18.292563054,-10.796740723,
2023-06-10 19:38:34.900,19.951279678,-2.5240411219705,1.7490987265120002,4.290425065865,,-0.0335279640278,-0.027584505801999996,0.02157737028294,,,,,,,,19.451802637,-18.270177458,-10.736309815,
2023-06-10 19:38:35.000,20.051256778,-2.570773034293,1.7407642369710001,4.103990804835,,0.014308440779,0.0319234151855,0.03484477587,,,,,,,,19.456748962,-18.416657256,-10.613330078,
2023-06-10 19:38:35.100,20.15023536292683,-2.5505300908115,1.6936168361477002,3.87463847785175,,-0.0030990467400000008,0.0038919164343600003,-0.0007896976086999997,52.351174,4.915771562,2.1265167,-1.0,-1.0,9.938788907,9.938788907,19.230475998,-18.457386398,-10.553100588,
2023-06-10 19:38:35.200,20.251210877,-2.6357872895214998,1.5830480200244499,3.9226808973965,,-0.0056951049719,-0.012511934897900001,0.0051767068905,,,,,,,,19.20725937,-18.344679640000003,-10.665039062,
2023-06-10 19:38:35.300,20.351187979,-2.5845530213120997,1.6726393798852002,4.073319819888,,0.01547139631617,0.0212611234281,0.0412765608158,,,,,,,,19.336612318,-18.411904524,-10.525854492,
2023-06-10 19:38:35.400,20.451165178,-2.45277578394355,1.7833807180645,3.9160660593389998,,0.0235563864008,0.010500649594,0.022260344588499997,,,,,,,,19.1995327,-18.428618622,-10.4765625,
2023-06-10 19:38:35.500,20.551739778809527,-2.6348468527319997,1.66544784543925,4.0520609225,1011.952972,0.0025700069026099994,0.0092790083953,-0.0173975809477,52.351174,4.915771562,2.122354865,-1.0,-1.0,9.938788907,9.938788907,19.195661164,-18.566497804,-10.282360837999999,
2023-06-10 19:38:35.600,20.651119478,-2.599354984585,1.66419597121,3.9394511503546,,0.024050637846599998,0.044363561646,0.00780908705205,,,,,,,,19.183501054,-18.423905561999998,-10.163305666,
2023-06-10 19:38:35.700,20.751096688,-2.52888729440525,1.7680048943709998,3.91819584916935,,0.054057820051500005,0.005355392209,0.008472745494099999,,,,,,,,19.180279922,-18.620491028,-10.059753417900001,
2023-06-10 19:38:35.800,20.85107425,-2.5971810190565,1.79463352373965,4.0060579826480005,,0.071428409218,0.038483867048999996,-0.0289436750134,,,,,,,,19.18455944,-18.689393234,-9.860925292900001,
2023-06-10 19:38:35.900,20.95105135,-2.5487067827779,1.6960640421256499,3.83961093716715,,0.02490785308146,-0.008249749010418,-0.007756630890799999,,,,,,,,19.138799287,-18.71344986,-9.8326599122,
2023-06-10 19:38:36.000,21.05102855,-2.7509447813210004,1.7272444657550001,3.8700820936194,,-0.08664389476699999,0.0318162565578,-0.01461435523852,,,,,,,,19.188446429,-18.580435559,-9.9784973142,
2023-06-10 19:38:36.100,21.15100585,-2.6460781845505,1.7287153620603999,3.7891079800525,,-0.06436697197300001,-0.041248378483789996,0.016155919502099998,,,,,,,,19.203173257,-18.533044624000002,-10.0686462402,
2023-06-10 19:38:36.200,21.25098305,-2.5821006697915,1.7400706110484498,4.0841872501585,,-0.0564410738673,-0.0137595020258,-0.0192403559577,,,,,,,,19.239894104,-18.601265716,-10.2121826186,
2023-06-10 19:38:36.300,21.35096025,-2.5897467813839503,1.6092394531157002,4.085506060555,,-0.041222365944,0.013457266241179999,-0.0088726525676,,,,,,,,19.412456132,-18.299395561,-10.435717776,
