"Time (s)","X (hPa)"
2.706100443E2,1.014527359E3
2.715617933E2,1.014517670E3
2.725135283E2,1.014508667E3
2.734652513E2,1.014508667E3
2.744171293E2,1.014511414E3
2.753689943E2,1.014526215E3
2.763209333E2,1.014552078E3
2.772728503E2,1.014595566E3
2.782247903E2,1.014652100E3
2.791767363E2,1.014714203E3
2.801287943E2,1.014784393E3
2.810808093E2,1.014859543E3
2.820327963E2,1.014935760E3
2.829848613E2,1.015022659E3
2.839368833E2,1.015121078E3
2.848891233E2,1.015225601E3
2.858411833E2,1.015332489E3
2.867932103E2,1.015438004E3
2.877452883E2,1.015543289E3
2.886973703E2,1.015640106E3
2.896494743E2,1.015713730E3
2.906015073E2,1.015771408E3
2.915535723E2,1.015812225E3
2.925057383E2,1.015831528E3
2.934578733E2,1.015832214E3
2.944100663E2,1.015836411E3
2.953621483E2,1.015840302E3
2.963143243E2,1.015847244E3
2.972666243E2,1.015851593E3
2.982188543E2,1.015855637E3
2.991709463E2,1.015858536E3
3.001230723E2,1.015860214E3
3.010752033E2,1.015861053E3
3.020273723E2,1.015862732E3
3.029796613E2,1.015864182E3
3.039319353E2,1.015865707E3
3.048842723E2,1.015866699E3
3.058365483E2,1.015865707E3
3.067888633E2,1.015864868E3
3.077412043E2,1.015861053E3
3.086936383E2,1.015851288E3
3.096460253E2,1.015843735E3
3.105984193E2,1.015825958E3
3.115507623E2,1.015807953E3
3.125030653E2,1.015786057E3
3.134553903E2,1.015769119E3
3.144078103E2,1.015741959E3
3.153603233E2,1.015720978E3
3.163128113E2,1.015698166E3
3.172650553E2,1.015677490E3
3.182172863E2,1.015657806E3
3.191695603E2,1.015636826E3
3.201218433E2,1.015614319E3
3.210741753E2,1.015595856E3
3.220264263E2,1.015581970E3
3.229785883E2,1.015564499E3
3.239307503E2,1.015553436E3
3.248829043E2,1.015544052E3
3.258349843E2,1.015529861E3
3.267871913E2,1.015506058E3
3.277393793E2,1.015482178E3
3.286914603E2,1.015460815E3
3.296435623E2,1.015439987E3
3.305956843E2,1.015412674E3
3.315477763E2,1.015393295E3
3.324998443E2,1.015377350E3
3.334520153E2,1.015362854E3
3.344041263E2,1.015348282E3
3.353562603E2,1.015343781E3
3.363084233E2,1.015335541E3
3.372604683E2,1.015323181E3
3.382124673E2,1.015310745E3
3.391643873E2,1.015300446E3
3.401163983E2,1.015288391E3
3.410684753E2,1.015274429E3
3.420205363E2,1.015260773E3
3.429726623E2,1.015245132E3
3.439249203E2,1.015224533E3
3.448770553E2,1.015205078E3
3.458292153E2,1.015181961E3
3.467813273E2,1.015159225E3
3.477334093E2,1.015139236E3
3.486854243E2,1.015115204E3
3.496373693E2,1.015086212E3
3.505893423E2,1.015066376E3
3.515413583E2,1.015050049E3
3.524934713E2,1.015034943E3
3.534455233E2,1.015023651E3
3.543975093E2,1.015013504E3
3.553494863E2,1.014999161E3
3.563015513E2,1.014986267E3
3.572535713E2,1.014964523E3
3.582055553E2,1.014937592E3
3.591574713E2,1.014912949E3
3.601094253E2,1.014891968E3
3.610614243E2,1.014869690E3
3.620134483E2,1.014854507E3
3.629654053E2,1.014837112E3
3.639173493E2,1.014823151E3
3.648692933E2,1.014810410E3
3.658211553E2,1.014796066E3
3.667730483E2,1.014775314E3
3.677248753E2,1.014763489E3
3.686769043E2,1.014748688E3
3.696289133E2,1.014733887E3
3.705808973E2,1.014714966E3
3.715329773E2,1.014701691E3
3.724850383E2,1.014686203E3
3.734370463E2,1.014673843E3
3.743890473E2,1.014661179E3
3.753411793E2,1.014651108E3
3.762933173E2,1.014640961E3
3.772453853E2,1.014628220E3
3.781974153E2,1.014612198E3
3.791494543E2,1.014597626E3
3.801014533E2,1.014581833E3
3.810534763E2,1.014563904E3
3.820054793E2,1.014549866E3
3.829574563E2,1.014540787E3
3.839093693E2,1.014532700E3
3.848613533E2,1.014525681E3
3.858133963E2,1.014520493E3
3.867653903E2,1.014515839E3
3.877173223E2,1.014514694E3
3.886692943E2,1.014514694E3
3.896212733E2,1.014527512E3
3.905732563E2,1.014561462E3
3.915253203E2,1.014613266E3
3.924772413E2,1.014686432E3
3.934292143E2,1.014780502E3
3.943810853E2,1.014890900E3
3.953330913E2,1.015009003E3
3.962848433E2,1.015131607E3
3.972365973E2,1.015253525E3
3.981883533E2,1.015370560E3
3.991402513E2,1.015477905E3
4.000920703E2,1.015581131E3
4.010439053E2,1.015677414E3
4.019957883E2,1.015747986E3
4.029477003E2,1.015799103E3
4.038997453E2,1.015832596E3
4.048517363E2,1.015842361E3
4.058036723E2,1.015843506E3
4.067555373E2,1.015842896E3
4.077073483E2,1.015842896E3
4.086592463E2,1.015840988E3
4.096111183E2,1.015840988E3
4.105629723E2,1.015841370E3
4.115148713E2,1.015842133E3
4.124669373E2,1.015846939E3
4.134189083E2,1.015850830E3
4.143708923E2,1.015857468E3
4.153227173E2,1.015863190E3
4.162744963E2,1.015868759E3
4.172262803E2,1.015874100E3
4.181781313E2,1.015882416E3
4.191300433E2,1.015882797E3
4.200819743E2,1.015882797E3
4.210337723E2,1.015879059E3
4.219855463E2,1.015875092E3
4.229373993E2,1.015875092E3
4.238891283E2,1.015876389E3
4.248409433E2,1.015889511E3
4.257926413E2,1.015903549E3
4.267443343E2,1.015916138E3
4.276960063E2,1.015925369E3
4.286478303E2,1.015930710E3
4.295997473E2,1.015933762E3
4.305515463E2,1.015934296E3
4.315033353E2,1.015934296E3
4.324550783E2,1.015932236E3
4.334069283E2,1.015930634E3
4.343586663E2,1.015930328E3
4.353102753E2,1.015929718E3
4.362619303E2,1.015929260E3
4.372134653E2,1.015929260E3
4.381650403E2,1.015929260E3
4.391166993E2,1.015929413E3
4.400684873E2,1.015929413E3
4.410202333E2,1.015929413E3
4.419720203E2,1.015929718E3
4.429237763E2,1.015929489E3
4.438755453E2,1.015929718E3
4.448274323E2,1.015930481E3
4.457792753E2,1.015931396E3
4.467310913E2,1.015933609E3
4.476828403E2,1.015935059E3
4.486345933E2,1.015935440E3
4.495864153E2,1.015935440E3
4.505380993E2,1.015935440E3
4.514900073E2,1.015935974E3
4.524417933E2,1.015936203E3
4.533934583E2,1.015937424E3
4.543450633E2,1.015938492E3
4.552966493E2,1.015939407E3
4.562482723E2,1.015939713E3
4.571998803E2,1.015939407E3
4.581514863E2,1.015937119E3
4.591031133E2,1.015934219E3
4.600549803E2,1.015928650E3
4.610066703E2,1.015923462E3
4.619582893E2,1.015919037E3
4.629098903E2,1.015914993E3
4.638614723E2,1.015914612E3
4.648128763E2,1.015914612E3
4.657642273E2,1.015915909E3
4.667156453E2,1.015916595E3
4.676670983E2,1.015917587E3
4.686185843E2,1.015917587E3
4.695701113E2,1.015916901E3
4.705215173E2,1.015915298E3
4.714730003E2,1.015915298E3
4.724243893E2,1.015915298E3
4.733758753E2,1.015915833E3
4.743274403E2,1.015918808E3
4.752789533E2,1.015923080E3
4.762303393E2,1.015927277E3
4.771817603E2,1.015932541E3
4.781331713E2,1.015938873E3
4.790845383E2,1.015943527E3
4.800359323E2,1.015948105E3
4.809873673E2,1.015951843E3
4.819387563E2,1.015951843E3
4.828900693E2,1.015949173E3
4.838413893E2,1.015946426E3
4.847927883E2,1.015942535E3
4.857441673E2,1.015939713E3
4.866956943E2,1.015937729E3
4.876470873E2,1.015937500E3
4.885982343E2,1.015937119E3
4.895494143E2,1.015936966E3
4.905007903E2,1.015935822E3
4.914519423E2,1.015935822E3
