"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.903273680E2,5.235577275E1,4.957089437E0,-1.989386559E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
8.908300580E2,5.235565888E1,4.956680077E0,-2.051304817E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
8.968435150E2,5.235576141E1,4.957063325E0,-2.100494385E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
8.973527620E2,5.235566948E1,4.956721974E0,-2.148749352E0,-1.000000000E0,-1.000000000E0,3.826008872E1,3.826008872E1
9.033668180E2,5.235576854E1,4.957086879E0,-2.193377972E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.038793390E2,5.235568187E1,4.956760374E0,-2.214253902E0,-1.000000000E0,-1.000000000E0,4.082125839E1,4.082125839E1
9.098931379E2,5.235577210E1,4.957095273E0,-2.233621120E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.103952810E2,5.235571374E1,4.956897326E0,-2.215009212E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.164086530E2,5.235578196E1,4.957140594E0,-2.197926998E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.169181000E2,5.235563686E1,4.956599567E0,-2.201886654E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
9.233091199E2,5.235574610E1,4.956998755E0,-2.205796242E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.238220450E2,5.235571769E1,4.956848080E0,-2.263893127E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.298354980E2,5.235578949E1,4.957140541E0,-2.316684246E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.303311360E2,5.235570731E1,4.956878405E0,-2.300808907E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.363437220E2,5.235577265E1,4.957117303E0,-2.286289215E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.368558930E2,5.235568278E1,4.956803541E0,-2.223694801E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.428690130E2,5.235576107E1,4.957069690E0,-2.166149139E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.433775750E2,5.235580061E1,4.957070899E0,-2.194332600E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.493903390E2,5.235581351E1,4.957188759E0,-2.220295906E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.498993750E2,5.235562022E1,4.956552334E0,-2.198513031E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
9.559126310E2,5.235571590E1,4.956922121E0,-2.178638935E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.564253900E2,5.235565822E1,4.956680406E0,-2.082405090E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
9.624389570E2,5.235576385E1,4.957072188E0,-1.993885040E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.629448429E2,5.235572714E1,4.956882543E0,-2.074454784E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.689604460E2,5.235579305E1,4.957155083E0,-2.142815113E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.749946060E2,5.235579966E1,4.957201047E0,-2.668004036E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.754924370E2,5.235577025E1,4.957012065E0,-2.695271969E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.815039489E2,5.235578145E1,4.957108700E0,-2.948390007E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.820020820E2,5.235572358E1,4.956862627E0,-2.742309570E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
9.880138190E2,5.235575951E1,4.957047406E0,-2.972785473E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.885186830E2,5.235566923E1,4.956699042E0,-2.808631897E0,-1.000000000E0,-1.000000000E0,3.726733659E1,3.726733659E1
9.945344830E2,5.235574589E1,4.957010557E0,-3.010552883E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
9.988795789E2,5.235563051E1,4.956669695E0,-3.010415554E0,-1.000000000E0,-1.000000000E0,9.800000000E1,9.800000000E1
